County,State Well Number,Aquifer,Aquifer Type,Entity/Cooperator,Data Transmission,Latest Transmission Date,Daily High Water Level(feet below land surface),Latitude,Longitude,Status
Hansford,354301,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,159.23,,,Active
Harris,6507905,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,73.46,,,Active
Harris,6512725,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,9.54,,,Active
Harris,6512726,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,342.75,,,Active
Harris,6512729,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,154.33,,,Active
Harris,6514409,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,192.35,,,Active
Harris,6514738,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,173.23,,,Active
Harris,6521226,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,228.68,,,Active
Harris,6521230,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,252.32,,,Active
Harris,6532428,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,132.7,,,Active
Hartley,712401,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,251.53,,,Active
Haskell,2135748,Seymour,Unconfined,Texas Water Development Board,Satellite,1/24/2018,46.62,,,Active
Hays,5748811,Trinity,Confined,Hays Trinity GCD: W&L Water Services Inc.,Satellite,1/24/2018,636.15,,,Active
Hays,5755607,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,151.29,,,Active
Hays,5756702,Trinity,Unconfined,Hays Trinity GCD,Satellite,1/24/2018,69.69,,,Active
Hays,5763705,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,237.76,,,Active
Hays,5764502,Trinity,Unconfined,Hays Trinity GCD,Satellite,1/23/2018,327.96,,,Active
Hays,5764705,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,121.92,,,Active
Hays,5857502,Edwards (Balcones Fault Zone),Unconfined,Barton Springs/Edwards Aquifer CD,Satellite,1/20/2018,201.95,,,Active
Hidalgo,8739308,Gulf Coast,Unconfined,Texas Water Development Board,Data Card,6/13/2017,28.78,,,Active
Hill,4014602,Trinity,Confined,Prairielands GCD,Satellite,1/23/2018,315.88,,,Active
Hill,4015102,Trinity,Confined,Prairielands GCD,Satellite,1/24/2018,625.02,,,Active
Hood,3242604,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,289.95,,,Active
Hudspeth,4807516,Bone Spring-Victorio Peak,Unconfined,Texas Water Development Board,Satellite,1/24/2018,140.25,,,Active
Hutchinson,616702,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,245.53,,,Active
Jasper,6148209,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,196.01,,,Active
Jeff Davis,5225209,Igneous,Unconfined,Texas Water Development Board,Satellite,1/24/2018,137.89,,,Active
Jim Hogg,8703901,Gulf Coast,Unconfined,Brush Country GCD,Satellite,1/24/2018,174.07,,,Active
Johnson,3231906,Woodbine,Confined,Prairielands GCD,Satellite,1/24/2018,125.76,,,Active
Karnes,7910406,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/19/2018,197.25,,,Active
Kendall,5758203,Edwards-Trinity Plateau,Unconfined,Cow Creek GCD,Satellite,1/24/2018,30,,,Active
Kendall,6801314,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,169.69,,,Active
Kendall,6802609,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,132.88,,,Active
Kendall,6802807,Trinity,Confined,Cow Creek GCD,Satellite,1/24/2018,176.11,,,Active
Kendall,6804312,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,125.9,,,Active
Kendall,6809303,Trinity,Unconfined,Cow Creek GCD,Satellite,1/24/2018,771.82,,,Active
Kendall,6810616,Trinity,Unconfined,Cow Creek GCD,Satellite,1/24/2018,455.59,,,Active
Kendall,6811302,Trinity,Unconfined,Cow Creek GCD,Satellite,1/24/2018,164.86,,,Active
Kendall,6811417,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,302.2,,,Active
Kendall,6811418,Trinity,Unconfined,Cow Creek GCD,Satellite,1/24/2018,464.36,,,Active
Kendall,6811509,Trinity,Unconfined,Cow Creek GCD,Satellite,1/24/2018,318.68,,,Active
Kendall,6811708,Trinity,Unconfined,Cow Creek GCD,Satellite,1/24/2018,245.34,,,Active
Kendall,6812106,Trinity,Unconfined,Cow Creek GCD,Satellite,1/24/2018,101.29,,,Active
Kerr,5643901,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,456.37,,,Active
Kerr,5644901,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,599.86,,,Active
Kerr,5652704,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,669.58,,,Active
Kerr,5654106,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,562.27,,,Active
Kerr,5654405,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,446.45,,,Active
Kerr,5655805,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,146.13,,,Active
Kerr,5659201,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,651.33,,,Active
Kerr,5661101,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,521.61,,,Active
Kerr,5661907,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,330.9,,,Active
Kerr,5663922,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,281.62,,,Active
Kerr,5663923,Trinity,Confined,Headwaters GCD,Satellite,1/23/2018,291.22,,,Active
