latitude,longitude,altitude,geometry,aquifer,aquifer_type,county,entity,status,well_number
29.929999,-98.788055,,Point,Trinity,Unconfined,Kendall,Texas Water Development Board,Active,6802609
29.972221,-98.89472099999999,,Point,Trinity,Unconfined,Kendall,Texas Water Development Board,Active,6801314
28.812222,-97.85,,Point,Gulf Coast,Unconfined,Karnes,Texas Water Development Board,Active,7910406
30.590555,-103.94360999999999,,Point,Igneous,Unconfined,Jeff Davis,Texas Water Development Board,Active,5225209
30.347777,-94.070554,,Point,Gulf Coast,Unconfined,Jasper,Texas Water Development Board,Active,6148209
31.943888,-105.201944,,Point,Bone Spring-Victorio Peak,Unconfined,Hudspeth,Texas Water Development Board,Active,4807516
32.318332,-97.783333,,Point,Trinity,Unconfined,Hood,Texas Water Development Board,Active,3242604
30.015833,-98.116943,,Point,Trinity,Unconfined,Hays,Texas Water Development Board,Active,5764705
30.034721,-98.24110999999999,,Point,Trinity,Confined,Hays,Texas Water Development Board,Active,5763705
30.184444,-98.139166,,Point,Trinity,Unconfined,Hays,Texas Water Development Board,Active,5755607
35.805833,-102.61361099999999,,Point,Ogallala,Unconfined,Hartley,Texas Water Development Board,Active,0712401
33.391388,-99.749166,,Point,Seymour,Unconfined,Haskell,Texas Water Development Board,Active,2135748
29.817221000000004,-95.369443,,Point,Gulf Coast,Unconfined,Harris,Texas Water Development Board,Active,6514409
36.243333,-101.262222,,Point,Ogallala,Unconfined,Hansford,Texas Water Development Board,Active,0354301
33.829166,-101.848333,,Point,Edwards-Trinity (High Plains),Unconfined,Hale,Texas Water Development Board,Active,2310401
34.192221,-101.727221,,Point,Ogallala,Unconfined,Hale,Texas Water Development Board,Active,1151403
33.710555,-96.657777,,Point,Woodbine,Confined,Grayson,Texas Water Development Board,Active,1819301
31.795277000000002,-101.535833,,Point,Edwards-Trinity Plateau,Unconfined,Glasscock,Texas Water Development Board,Active,4412611
30.205833000000002,-98.727777,,Point,Ellenburger-San Saba,Confined,Gillespie,Texas Water Development Board,Active,5751407
30.230832,-98.79083299999999,,Point,Ellenburger-San Saba,Confined,Gillespie,Texas Water Development Board,Active,5750324
30.215555,-98.841944,,Point,Ellenburger-San Saba,Confined,Gillespie,Texas Water Development Board,Active,5750108
28.925553999999998,-99.073332,,Point,Carrizo-Wilcox,Confined,Frio,Texas Water Development Board,Active,7708511
