POINTID,GRID_CODE,x_center,y_center
199,92.06858826,-101.42171931700,36.41059334070
200,79.20449829,-101.37471364900,36.41253089750
201,91.87760925,-101.32770533500,36.41445159320
202,164.61663818,-101.28069439800,36.41635542640
203,200.76135254,-101.23368086100,36.41824239600
204,214.44804382,-101.18666474700,36.42011250080
205,184.14250183,-100.43297414800,36.43073710900
206,219.39439392,-100.38592938500,36.43231999650
207,235.07878113,-100.33888246000,36.43388600300
208,235.51062012,-100.29183339700,36.43543512740
209,226.14300537,-100.24478221800,36.43696736860
210,217.83125305,-100.19772894600,36.43848272580
211,222.12463379,-100.15067360400,36.43998119790
212,224.30239868,-100.10361621500,36.44146278400
213,220.79077148,-100.05655680300,36.44292748310
214,251.92745972,-100.00949539000,36.44437529430
215,155.98348999,-103.01469800200,36.30073638790
216,158.72129822,-102.96781892500,36.30324534570
217,163.67634583,-102.92093643400,36.30573749740
218,165.29409790,-102.87405055100,36.30821284130
219,141.63049316,-102.82716129900,36.31067137600
220,107.75342560,-102.78026870100,36.31311309970
221,100.78131866,-102.73337277800,36.31553801100
222,107.23391724,-102.68647355500,36.31794610840
223,111.39706421,-102.63957105200,36.32033739020
224,122.35671997,-102.59266529300,36.32271185510
225,144.88270569,-102.54575630100,36.32506950150
226,124.35244751,-102.49884409800,36.32741032780
227,55.62095261,-102.45192870700,36.32973433270
228,80.75289154,-102.40501015100,36.33204151460
229,94.08283997,-102.35808845100,36.33433187200
230,114.74671936,-102.31116363100,36.33660540360
231,136.55622864,-102.26423571400,36.33886210780
232,160.43354797,-102.21730472200,36.34110198330
233,168.18624878,-102.17037067800,36.34332502860
234,148.92013550,-102.12343360500,36.34553124230
235,147.72726440,-102.07649352500,36.34772062300
236,145.17561340,-102.02955046100,36.34989316930
237,140.47143555,-101.98260443500,36.35204887980
238,150.20361328,-101.93565547200,36.35418775320
239,164.59378052,-101.88870359200,36.35630978810
240,179.99905396,-101.84174882000,36.35841498310
241,190.40237427,-101.79479117800,36.36050333690
242,208.13276672,-101.74783068800,36.36257484820
243,209.41833496,-101.70086737300,36.36462951570
244,184.97090149,-101.65390125700,36.36666733790
245,177.24122620,-101.60693236200,36.36868831380
246,157.72480774,-101.55996071100,36.37069244190
247,164.40304565,-101.51298632600,36.37267972100
248,122.40061951,-101.46600923100,36.37465014980
249,89.03427124,-101.41902944900,36.37660372700
250,99.45837402,-101.37204700100,36.37854045150
251,108.24472046,-101.32506191100,36.38046032200
252,133.11212158,-101.27807420300,36.38236333720
253,167.14540100,-101.23108389800,36.38424949590
254,195.15808105,-101.18409102000,36.38611879700
